REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Age_group
2013,2016A000248,Total non-profit institutions,15 to 24 years,Average annual hours worked,Hours,units,1062.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions,25 to 34 years,Average annual hours worked,Hours,units,1642.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions,35 to 44 years,Average annual hours worked,Hours,units,1755.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions,45 to 54 years,Average annual hours worked,Hours,units,1851.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions,55 to 64 years,Average annual hours worked,Hours,units,1758.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions,65 years old and over,Average annual hours worked,Hours,units,1257.0,True,False,False,False,False,70
2013,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Average annual hours worked,Hours,units,991.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Average annual hours worked,Hours,units,1723.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Average annual hours worked,Hours,units,1803.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Average annual hours worked,Hours,units,1876.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Average annual hours worked,Hours,units,1795.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Average annual hours worked,Hours,units,1234.0,True,False,False,False,False,70
2013,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual hours worked,Hours,units,982.0,True,False,False,False,False,20
2013,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual hours worked,Hours,units,1689.0,True,False,False,False,False,30
2013,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual hours worked,Hours,units,1770.0,True,False,False,False,False,40
