REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2013,2016A000248,Total non-profit institutions,Male employees,Average annual hours worked,Hours,units,1799.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions,Female employees,Average annual hours worked,Hours,units,1592.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions excluding governments,Male employees,Average annual hours worked,Hours,units,1791.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Female employees,Average annual hours worked,Hours,units,1565.0,True,False,False,False,False,0
2013,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average annual hours worked,Hours,units,1785.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average annual hours worked,Hours,units,1558.0,True,False,False,False,False,0
2013,2016A000248,Business non-profit institutions,Male employees,Average annual hours worked,Hours,units,1802.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Female employees,Average annual hours worked,Hours,units,1593.0,True,False,False,False,False,0
2013,2016A000248,Government non-profit institutions,Male employees,Average annual hours worked,Hours,units,1804.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Female employees,Average annual hours worked,Hours,units,1602.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions,Male employees,Average annual hours worked,Hours,units,1772.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Female employees,Average annual hours worked,Hours,units,1566.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions excluding governments,Male employees,Average annual hours worked,Hours,units,1767.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Female employees,Average annual hours worked,Hours,units,1552.0,True,False,False,False,False,0
2014,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average annual hours worked,Hours,units,1762.0,True,False,False,False,False,1
2014,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average annual hours worked,Hours,units,1545.0,True,False,False,False,False,0
2014,2016A000248,Business non-profit institutions,Male employees,Average annual hours worked,Hours,units,1778.0,True,False,False,False,False,1
2014,2016A000248,Business non-profit institutions,Female employees,Average annual hours worked,Hours,units,1579.0,True,False,False,False,False,0
2014,2016A000248,Government non-profit institutions,Male employees,Average annual hours worked,Hours,units,1775.0,True,False,False,False,False,1
2014,2016A000248,Government non-profit institutions,Female employees,Average annual hours worked,Hours,units,1572.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions,Male employees,Average annual hours worked,Hours,units,1756.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions,Female employees,Average annual hours worked,Hours,units,1535.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions excluding governments,Male employees,Average annual hours worked,Hours,units,1782.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions excluding governments,Female employees,Average annual hours worked,Hours,units,1543.0,True,False,False,False,False,0
2015,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average annual hours worked,Hours,units,1777.0,True,False,False,False,False,1
2015,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average annual hours worked,Hours,units,1531.0,True,False,False,False,False,0
2015,2016A000248,Business non-profit institutions,Male employees,Average annual hours worked,Hours,units,1792.0,True,False,False,False,False,1
2015,2016A000248,Business non-profit institutions,Female employees,Average annual hours worked,Hours,units,1587.0,True,False,False,False,False,0
2015,2016A000248,Government non-profit institutions,Male employees,Average annual hours worked,Hours,units,1739.0,True,False,False,False,False,1
2015,2016A000248,Government non-profit institutions,Female employees,Average annual hours worked,Hours,units,1532.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions,Male employees,Average annual hours worked,Hours,units,1730.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions,Female employees,Average annual hours worked,Hours,units,1545.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions excluding governments,Male employees,Average annual hours worked,Hours,units,1701.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions excluding governments,Female employees,Average annual hours worked,Hours,units,1493.0,True,False,False,False,False,0
