REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Immigrant_status
2013,2016A000248,Total non-profit institutions,Immigrant employees,Average annual hours worked,Hours,units,1683.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions,Non-immigrant employees,Average annual hours worked,Hours,units,1638.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Average annual hours worked,Hours,units,1679.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual hours worked,Hours,units,1641.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual hours worked,Hours,units,1668.0,True,False,False,False,False,0
2013,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual hours worked,Hours,units,1625.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Immigrant employees,Average annual hours worked,Hours,units,1714.0,True,False,False,False,False,0
2013,2016A000248,Business non-profit institutions,Non-immigrant employees,Average annual hours worked,Hours,units,1684.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Immigrant employees,Average annual hours worked,Hours,units,1684.0,True,False,False,False,False,0
2013,2016A000248,Government non-profit institutions,Non-immigrant employees,Average annual hours worked,Hours,units,1636.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Immigrant employees,Average annual hours worked,Hours,units,1662.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions,Non-immigrant employees,Average annual hours worked,Hours,units,1608.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Average annual hours worked,Hours,units,1661.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual hours worked,Hours,units,1622.0,True,False,False,False,False,1
2014,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual hours worked,Hours,units,1652.0,True,False,False,False,False,0
2014,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual hours worked,Hours,units,1607.0,True,False,False,False,False,1
