REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Age_group
2013,2016A000248,Total non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,18464.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,42228.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,54346.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,59891.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,59112.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,43541.0,True,False,False,False,False,70
2013,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,14705.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Average annual wages and salaries,Dollars,units,37746.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Average annual wages and salaries,Dollars,units,46894.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Average annual wages and salaries,Dollars,units,51517.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Average annual wages and salaries,Dollars,units,50821.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Average annual wages and salaries,Dollars,units,32127.0,True,False,False,False,False,70
2013,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Average annual wages and salaries,Dollars,units,13360.0,True,False,False,False,False,20
2013,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Average annual wages and salaries,Dollars,units,34003.0,True,False,False,False,False,30
2013,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Average annual wages and salaries,Dollars,units,41719.0,True,False,False,False,False,40
2013,2016A000248,Non-profit institutions serving households (community organizations),45 to 54 years,Average annual wages and salaries,Dollars,units,46174.0,True,False,False,False,False,50
2013,2016A000248,Non-profit institutions serving households (community organizations),55 to 64 years,Average annual wages and salaries,Dollars,units,45957.0,True,False,False,False,False,60
2013,2016A000248,Non-profit institutions serving households (community organizations),65 years old and over,Average annual wages and salaries,Dollars,units,29845.0,True,False,False,False,False,70
2013,2016A000248,Business non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,17497.0,True,False,False,False,False,20
2013,2016A000248,Business non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,47907.0,True,False,False,False,False,30
2013,2016A000248,Business non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,62670.0,True,False,False,False,False,40
2013,2016A000248,Business non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,67558.0,True,False,False,False,False,50
2013,2016A000248,Business non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,66143.0,True,False,False,False,False,60
