REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2013,2016A000248,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,60709.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,44609.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,51751.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,34617.0,True,False,False,False,False,0
2013,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,46301.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average annual wages and salaries,Dollars,units,32613.0,True,False,False,False,False,0
2013,2016A000248,Business non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,62964.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,41628.0,True,False,False,False,False,0
2013,2016A000248,Government non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,66573.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,48096.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,61730.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,45060.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,53957.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,35583.0,True,False,False,False,False,0
2014,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average annual wages and salaries,Dollars,units,48196.0,True,False,False,False,False,1
