REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Immigrant_status
2013,2016A000248,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,48024.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,49582.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,39342.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,41547.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,36076.0,True,False,False,False,False,0
2013,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,37664.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49580.0,True,False,False,False,False,0
2013,2016A000248,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,52176.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,50810.0,True,False,False,False,False,0
2013,2016A000248,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,53338.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,48542.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,50204.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,40593.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,42906.0,True,False,False,False,False,1
2014,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,37157.0,True,False,False,False,False,0
2014,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,38742.0,True,False,False,False,False,1
2014,2016A000248,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,51781.0,True,False,False,False,False,0
2014,2016A000248,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,54555.0,True,False,False,False,False,1
2014,2016A000248,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,51103.0,True,False,False,False,False,0
2014,2016A000248,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,53671.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49557.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,51240.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,40944.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43337.0,True,False,False,False,False,1
2015,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,37779.0,True,False,False,False,False,0
2015,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,39518.0,True,False,False,False,False,1
2015,2016A000248,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,51148.0,True,False,False,False,False,0
2015,2016A000248,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,53920.0,True,False,False,False,False,1
2015,2016A000248,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,52340.0,True,False,False,False,False,0
2015,2016A000248,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,55028.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,49428.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,51200.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,40249.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,42599.0,True,False,False,False,False,1
2016,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,37855.0,True,False,False,False,False,0
2016,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,39622.0,True,False,False,False,False,1
2016,2016A000248,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,47818.0,True,False,False,False,False,0
2016,2016A000248,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,50727.0,True,False,False,False,False,1
2016,2016A000248,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,52381.0,True,False,False,False,False,0
2016,2016A000248,Government non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,55258.0,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,50207.0,True,False,False,False,False,0
2017,2016A000248,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,52172.0,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,40377.0,True,False,False,False,False,0
2017,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,43250.0,True,False,False,False,False,1
2017,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Average annual wages and salaries,Dollars,units,38266.0,True,False,False,False,False,0
2017,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average annual wages and salaries,Dollars,units,40301.0,True,False,False,False,False,1
2017,2016A000248,Business non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,47405.0,True,False,False,False,False,0
2017,2016A000248,Business non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,51904.0,True,False,False,False,False,1
2017,2016A000248,Government non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,53391.0,True,False,False,False,False,0
