REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Age_group
2013,2016A000248,Total non-profit institutions,15 to 24 years,Average weekly hours worked,Hours,units,20.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions,25 to 34 years,Average weekly hours worked,Hours,units,32.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions,35 to 44 years,Average weekly hours worked,Hours,units,34.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions,45 to 54 years,Average weekly hours worked,Hours,units,36.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions,55 to 64 years,Average weekly hours worked,Hours,units,34.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions,65 years old and over,Average weekly hours worked,Hours,units,24.0,True,False,False,False,False,70
2013,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Average weekly hours worked,Hours,units,19.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Average weekly hours worked,Hours,units,33.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Average weekly hours worked,Hours,units,35.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Average weekly hours worked,Hours,units,36.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Average weekly hours worked,Hours,units,35.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Average weekly hours worked,Hours,units,24.0,True,False,False,False,False,70
2013,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Average weekly hours worked,Hours,units,19.0,True,False,False,False,False,20
2013,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Average weekly hours worked,Hours,units,32.0,True,False,False,False,False,30
2013,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Average weekly hours worked,Hours,units,34.0,True,False,False,False,False,40
