REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Education_group
2013,2016A000248,Total non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,83398.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions,Trade certificate,Hours worked,Hours,thousands,24581.0,True,False,False,False,False,2
2013,2016A000248,Total non-profit institutions,University degree and higher,Hours worked,Hours,thousands,205820.0,True,False,False,False,False,3
2013,2016A000248,Total non-profit institutions excluding governments,High school diploma and less,Hours worked,Hours,thousands,34772.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Trade certificate,Hours worked,Hours,thousands,8717.0,True,False,False,False,False,2
2013,2016A000248,Total non-profit institutions excluding governments,University degree and higher,Hours worked,Hours,thousands,53723.0,True,False,False,False,False,3
2013,2016A000248,Non-profit institutions serving households (community organizations),High school diploma and less,Hours worked,Hours,thousands,23038.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Trade certificate,Hours worked,Hours,thousands,5698.0,True,False,False,False,False,2
2013,2016A000248,Non-profit institutions serving households (community organizations),University degree and higher,Hours worked,Hours,thousands,42280.0,True,False,False,False,False,3
2013,2016A000248,Business non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,11734.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Trade certificate,Hours worked,Hours,thousands,3019.0,True,False,False,False,False,2
2013,2016A000248,Business non-profit institutions,University degree and higher,Hours worked,Hours,thousands,11443.0,True,False,False,False,False,3
2013,2016A000248,Government non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,48626.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Trade certificate,Hours worked,Hours,thousands,15864.0,True,False,False,False,False,2
2013,2016A000248,Government non-profit institutions,University degree and higher,Hours worked,Hours,thousands,152097.0,True,False,False,False,False,3
2014,2016A000248,Total non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,83770.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Trade certificate,Hours worked,Hours,thousands,22962.0,True,False,False,False,False,2
2014,2016A000248,Total non-profit institutions,University degree and higher,Hours worked,Hours,thousands,206962.0,True,False,False,False,False,3
2014,2016A000248,Total non-profit institutions excluding governments,High school diploma and less,Hours worked,Hours,thousands,35167.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Trade certificate,Hours worked,Hours,thousands,8423.0,True,False,False,False,False,2
2014,2016A000248,Total non-profit institutions excluding governments,University degree and higher,Hours worked,Hours,thousands,54520.0,True,False,False,False,False,3
2014,2016A000248,Non-profit institutions serving households (community organizations),High school diploma and less,Hours worked,Hours,thousands,23652.0,True,False,False,False,False,1
2014,2016A000248,Non-profit institutions serving households (community organizations),Trade certificate,Hours worked,Hours,thousands,5550.0,True,False,False,False,False,2
2014,2016A000248,Non-profit institutions serving households (community organizations),University degree and higher,Hours worked,Hours,thousands,42966.0,True,False,False,False,False,3
2014,2016A000248,Business non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,11515.0,True,False,False,False,False,1
2014,2016A000248,Business non-profit institutions,Trade certificate,Hours worked,Hours,thousands,2873.0,True,False,False,False,False,2
2014,2016A000248,Business non-profit institutions,University degree and higher,Hours worked,Hours,thousands,11554.0,True,False,False,False,False,3
2014,2016A000248,Government non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,48603.0,True,False,False,False,False,1
2014,2016A000248,Government non-profit institutions,Trade certificate,Hours worked,Hours,thousands,14539.0,True,False,False,False,False,2
2014,2016A000248,Government non-profit institutions,University degree and higher,Hours worked,Hours,thousands,152442.0,True,False,False,False,False,3
2015,2016A000248,Total non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,84205.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions,Trade certificate,Hours worked,Hours,thousands,21488.0,True,False,False,False,False,2
2015,2016A000248,Total non-profit institutions,University degree and higher,Hours worked,Hours,thousands,209531.0,True,False,False,False,False,3
