REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2013,2016A000248,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,72546.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,185115.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,28701.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,47885.0,True,False,False,False,False,0
2013,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,19313.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,37237.0,True,False,False,False,False,0
2013,2016A000248,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,9388.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,10647.0,True,False,False,False,False,0
2013,2016A000248,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,43845.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,137230.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,73289.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,188486.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,28944.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,49461.0,True,False,False,False,False,0
2014,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,19646.0,True,False,False,False,False,1
2014,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,38634.0,True,False,False,False,False,0
2014,2016A000248,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,9298.0,True,False,False,False,False,1
2014,2016A000248,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,10827.0,True,False,False,False,False,0
2014,2016A000248,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,44345.0,True,False,False,False,False,1
2014,2016A000248,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,139025.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,75342.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,192464.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,29753.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,50759.0,True,False,False,False,False,0
2015,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,20035.0,True,False,False,False,False,1
2015,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,39671.0,True,False,False,False,False,0
2015,2016A000248,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,9717.0,True,False,False,False,False,1
2015,2016A000248,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,11087.0,True,False,False,False,False,0
2015,2016A000248,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,45590.0,True,False,False,False,False,1
2015,2016A000248,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,141705.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,76834.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,195729.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,29349.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,51779.0,True,False,False,False,False,0
2016,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,19701.0,True,False,False,False,False,1
2016,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,40224.0,True,False,False,False,False,0
2016,2016A000248,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,9648.0,True,False,False,False,False,1
2016,2016A000248,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,11555.0,True,False,False,False,False,0
2016,2016A000248,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,47485.0,True,False,False,False,False,1
2016,2016A000248,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,143950.0,True,False,False,False,False,0
2017,2016A000248,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,77378.0,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,196923.0,True,False,False,False,False,0
2017,2016A000248,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,29235.0,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,52302.0,True,False,False,False,False,0
2017,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,20221.0,True,False,False,False,False,1
2017,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,41053.0,True,False,False,False,False,0
2017,2016A000248,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,9013.0,True,False,False,False,False,1
2017,2016A000248,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,11249.0,True,False,False,False,False,0
2017,2016A000248,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,48143.0,True,False,False,False,False,1
2017,2016A000248,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,144622.0,True,False,False,False,False,0
2018,2016A000248,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,79847.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,201104.0,True,False,False,False,False,0
2018,2016A000248,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,30159.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,53852.0,True,False,False,False,False,0
2018,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,21095.0,True,False,False,False,False,1
2018,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,42027.0,True,False,False,False,False,0
2018,2016A000248,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,9064.0,True,False,False,False,False,1
2018,2016A000248,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,11825.0,True,False,False,False,False,0
2018,2016A000248,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,49688.0,True,False,False,False,False,1
2018,2016A000248,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,147252.0,True,False,False,False,False,0
2013,2016A000259,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,90416.0,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,201570.0,False,True,False,False,False,0
2013,2016A000259,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,37973.0,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,65198.0,False,True,False,False,False,0
2013,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,25085.0,False,True,False,False,False,1
2013,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,51480.0,False,True,False,False,False,0
2013,2016A000259,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,12887.0,False,True,False,False,False,1
2013,2016A000259,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,13718.0,False,True,False,False,False,0
