REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Male employees,Average annual hours worked,Hours,units,1622.0
2013,2016A000011124,Canada,Total non-profit institutions,Female employees,Average annual hours worked,Hours,units,1543.0
2013,2016A000011124,Canada,Total non-profit institutions,Immigrant employees,Average annual hours worked,Hours,units,1582.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-immigrant employees,Average annual hours worked,Hours,units,1562.0
2013,2016A000011124,Canada,Total non-profit institutions,Indigenous identity employees,Average annual hours worked,Hours,units,1492.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-indigenous identity employees,Average annual hours worked,Hours,units,1570.0
2013,2016A000011124,Canada,Total non-profit institutions,Visible minority,Average annual hours worked,Hours,units,1526.0
2013,2016A000011124,Canada,Total non-profit institutions,Not a visible minority,Average annual hours worked,Hours,units,1579.0
2013,2016A000011124,Canada,Total non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1313.0
2013,2016A000011124,Canada,Total non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1545.0
2013,2016A000011124,Canada,Total non-profit institutions,College diploma,Average annual hours worked,Hours,units,1615.0
2013,2016A000011124,Canada,Total non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1662.0
2013,2016A000011124,Canada,Total non-profit institutions,15 to 24 years,Average annual hours worked,Hours,units,906.0
2013,2016A000011124,Canada,Total non-profit institutions,25 to 34 years,Average annual hours worked,Hours,units,1559.0
2013,2016A000011124,Canada,Total non-profit institutions,35 to 44 years,Average annual hours worked,Hours,units,1725.0
2013,2016A000011124,Canada,Total non-profit institutions,45 to 54 years,Average annual hours worked,Hours,units,1799.0
2013,2016A000011124,Canada,Total non-profit institutions,55 to 64 years,Average annual hours worked,Hours,units,1645.0
2013,2016A000011124,Canada,Total non-profit institutions,65 years old and over,Average annual hours worked,Hours,units,1008.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Male employees,Average annual hours worked,Hours,units,1662.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Female employees,Average annual hours worked,Hours,units,1511.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Immigrant employees,Average annual hours worked,Hours,units,1584.0
