REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,31.26
2013,2016A000011124,Canada,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,27.28
2013,2016A000011124,Canada,Total non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,28.85
2013,2016A000011124,Canada,Total non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,28.41
2013,2016A000011124,Canada,Total non-profit institutions,Indigenous identity employees,Average hourly wage,Dollars,units,24.14
2013,2016A000011124,Canada,Total non-profit institutions,Non-indigenous identity employees,Average hourly wage,Dollars,units,28.69
2013,2016A000011124,Canada,Total non-profit institutions,Visible minority,Average hourly wage,Dollars,units,26.65
2013,2016A000011124,Canada,Total non-profit institutions,Not a visible minority,Average hourly wage,Dollars,units,29.08
2013,2016A000011124,Canada,Total non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,20.41
2013,2016A000011124,Canada,Total non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,22.8
2013,2016A000011124,Canada,Total non-profit institutions,College diploma,Average hourly wage,Dollars,units,26.32
2013,2016A000011124,Canada,Total non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,33.74
2013,2016A000011124,Canada,Total non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,16.85
2013,2016A000011124,Canada,Total non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,23.97
2013,2016A000011124,Canada,Total non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,29.44
2013,2016A000011124,Canada,Total non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,31.11
2013,2016A000011124,Canada,Total non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,31.74
2013,2016A000011124,Canada,Total non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,32.14
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,25.95
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,21.53
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Immigrant employees,Average hourly wage,Dollars,units,22.6
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-immigrant employees,Average hourly wage,Dollars,units,23.35
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Indigenous identity employees,Average hourly wage,Dollars,units,20.65
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-indigenous identity employees,Average hourly wage,Dollars,units,23.3
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Visible minority,Average hourly wage,Dollars,units,21.25
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Not a visible minority,Average hourly wage,Dollars,units,23.73
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,High school diploma and less,Average hourly wage,Dollars,units,18.98
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Trade certificate,Average hourly wage,Dollars,units,21.31
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,College diploma,Average hourly wage,Dollars,units,21.09
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,University degree and higher,Average hourly wage,Dollars,units,26.83
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,15 to 24 years,Average hourly wage,Dollars,units,13.85
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,25 to 34 years,Average hourly wage,Dollars,units,19.4
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,35 to 44 years,Average hourly wage,Dollars,units,24.29
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,45 to 54 years,Average hourly wage,Dollars,units,25.98
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,55 to 64 years,Average hourly wage,Dollars,units,25.87
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,65 years old and over,Average hourly wage,Dollars,units,23.4
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,24.58
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,21.13
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Immigrant employees,Average hourly wage,Dollars,units,21.62
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average hourly wage,Dollars,units,22.49
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Indigenous identity employees,Average hourly wage,Dollars,units,20.32
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Non-indigenous identity employees,Average hourly wage,Dollars,units,22.39
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Visible minority,Average hourly wage,Dollars,units,20.54
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Not a visible minority,Average hourly wage,Dollars,units,22.79
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),High school diploma and less,Average hourly wage,Dollars,units,17.94
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Trade certificate,Average hourly wage,Dollars,units,19.98
