REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,679350.0
2013,2016A000011124,Canada,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,1575789.0
2013,2016A000011124,Canada,Total non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,540480.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,1714659.0
2013,2016A000011124,Canada,Total non-profit institutions,Indigenous identity employees,Number of jobs,Jobs,units,87768.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-indigenous identity employees,Number of jobs,Jobs,units,2167370.0
2013,2016A000011124,Canada,Total non-profit institutions,Visible minority,Number of jobs,Jobs,units,531088.0
2013,2016A000011124,Canada,Total non-profit institutions,Not a visible minority,Number of jobs,Jobs,units,1724050.0
2013,2016A000011124,Canada,Total non-profit institutions,High school diploma and less,Number of jobs,Jobs,units,474497.0
2013,2016A000011124,Canada,Total non-profit institutions,Trade certificate,Number of jobs,Jobs,units,178883.0
2013,2016A000011124,Canada,Total non-profit institutions,College diploma,Number of jobs,Jobs,units,593425.0
2013,2016A000011124,Canada,Total non-profit institutions,University degree and higher,Number of jobs,Jobs,units,1008332.0
2013,2016A000011124,Canada,Total non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,236625.0
2013,2016A000011124,Canada,Total non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,476648.0
2013,2016A000011124,Canada,Total non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,466372.0
2013,2016A000011124,Canada,Total non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,530812.0
2013,2016A000011124,Canada,Total non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,419074.0
2013,2016A000011124,Canada,Total non-profit institutions,65 years old and over,Number of jobs,Jobs,units,125598.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,265906.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,488457.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Immigrant employees,Number of jobs,Jobs,units,169127.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-immigrant employees,Number of jobs,Jobs,units,585234.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Indigenous identity employees,Number of jobs,Jobs,units,34302.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-indigenous identity employees,Number of jobs,Jobs,units,720061.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Visible minority,Number of jobs,Jobs,units,171878.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Not a visible minority,Number of jobs,Jobs,units,582483.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,High school diploma and less,Number of jobs,Jobs,units,211085.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Trade certificate,Number of jobs,Jobs,units,52716.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,College diploma,Number of jobs,Jobs,units,182352.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,University degree and higher,Number of jobs,Jobs,units,308206.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,15 to 24 years,Number of jobs,Jobs,units,98296.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,25 to 34 years,Number of jobs,Jobs,units,153685.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,35 to 44 years,Number of jobs,Jobs,units,150827.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,45 to 54 years,Number of jobs,Jobs,units,163302.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,55 to 64 years,Number of jobs,Jobs,units,138006.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,65 years old and over,Number of jobs,Jobs,units,50245.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,180780.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,390605.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Immigrant employees,Number of jobs,Jobs,units,128206.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Non-immigrant employees,Number of jobs,Jobs,units,443179.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Indigenous identity employees,Number of jobs,Jobs,units,27767.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Non-indigenous identity employees,Number of jobs,Jobs,units,543618.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Visible minority,Number of jobs,Jobs,units,130261.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Not a visible minority,Number of jobs,Jobs,units,441124.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),High school diploma and less,Number of jobs,Jobs,units,148350.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Trade certificate,Number of jobs,Jobs,units,38185.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),College diploma,Number of jobs,Jobs,units,141962.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),University degree and higher,Number of jobs,Jobs,units,242891.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),15 to 24 years,Number of jobs,Jobs,units,67729.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),25 to 34 years,Number of jobs,Jobs,units,115852.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),35 to 44 years,Number of jobs,Jobs,units,115636.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),45 to 54 years,Number of jobs,Jobs,units,125043.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),55 to 64 years,Number of jobs,Jobs,units,106961.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),65 years old and over,Number of jobs,Jobs,units,40162.0
2013,2016A000011124,Canada,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,85126.0
2013,2016A000011124,Canada,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,97848.0
2013,2016A000011124,Canada,Business non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,40922.0
2013,2016A000011124,Canada,Business non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,142055.0
2013,2016A000011124,Canada,Business non-profit institutions,Indigenous identity employees,Number of jobs,Jobs,units,6536.0
2013,2016A000011124,Canada,Business non-profit institutions,Non-indigenous identity employees,Number of jobs,Jobs,units,176440.0
2013,2016A000011124,Canada,Business non-profit institutions,Visible minority,Number of jobs,Jobs,units,41620.0
2013,2016A000011124,Canada,Business non-profit institutions,Not a visible minority,Number of jobs,Jobs,units,141358.0
2013,2016A000011124,Canada,Business non-profit institutions,High school diploma and less,Number of jobs,Jobs,units,62736.0
2013,2016A000011124,Canada,Business non-profit institutions,Trade certificate,Number of jobs,Jobs,units,14533.0
2013,2016A000011124,Canada,Business non-profit institutions,College diploma,Number of jobs,Jobs,units,40390.0
2013,2016A000011124,Canada,Business non-profit institutions,University degree and higher,Number of jobs,Jobs,units,65319.0
2013,2016A000011124,Canada,Business non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,30566.0
