REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1313.0
2013,2016A000011124,Canada,Total non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1545.0
2013,2016A000011124,Canada,Total non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1662.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,High school diploma and less,Average annual hours worked,Hours,units,1299.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Trade certificate,Average annual hours worked,Hours,units,1567.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,University degree and higher,Average annual hours worked,Hours,units,1713.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual hours worked,Hours,units,1253.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Trade certificate,Average annual hours worked,Hours,units,1501.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),University degree and higher,Average annual hours worked,Hours,units,1697.0
2013,2016A000011124,Canada,Business non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1408.0
2013,2016A000011124,Canada,Business non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1740.0
2013,2016A000011124,Canada,Business non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1774.0
2013,2016A000011124,Canada,Government non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1324.0
2013,2016A000011124,Canada,Government non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1536.0
2013,2016A000011124,Canada,Government non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1639.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1388.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1669.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1806.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,High school diploma and less,Average annual hours worked,Hours,units,1221.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Trade certificate,Average annual hours worked,Hours,units,1649.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,University degree and higher,Average annual hours worked,Hours,units,2048.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual hours worked,Hours,units,1186.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Trade certificate,Average annual hours worked,Hours,units,1576.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),University degree and higher,Average annual hours worked,Hours,units,2063.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1333.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1855.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1971.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1459.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1674.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1757.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1244.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1645.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1690.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,High school diploma and less,Average annual hours worked,Hours,units,1103.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Trade certificate,Average annual hours worked,Hours,units,1513.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,University degree and higher,Average annual hours worked,Hours,units,1869.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual hours worked,Hours,units,1065.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Trade certificate,Average annual hours worked,Hours,units,1412.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),University degree and higher,Average annual hours worked,Hours,units,1863.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1202.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1714.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1885.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1324.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1676.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1630.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,High school diploma and less,Average annual hours worked,Hours,units,1296.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Trade certificate,Average annual hours worked,Hours,units,1618.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,University degree and higher,Average annual hours worked,Hours,units,1706.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,High school diploma and less,Average annual hours worked,Hours,units,1249.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Trade certificate,Average annual hours worked,Hours,units,1605.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,University degree and higher,Average annual hours worked,Hours,units,1805.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),High school diploma and less,Average annual hours worked,Hours,units,1192.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Trade certificate,Average annual hours worked,Hours,units,1547.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),University degree and higher,Average annual hours worked,Hours,units,1787.0
