REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,16.85
2013,2016A000011124,Canada,Total non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,23.97
2013,2016A000011124,Canada,Total non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,29.44
2013,2016A000011124,Canada,Total non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,31.11
2013,2016A000011124,Canada,Total non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,31.74
2013,2016A000011124,Canada,Total non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,32.14
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,15 to 24 years,Average hourly wage,Dollars,units,13.85
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,25 to 34 years,Average hourly wage,Dollars,units,19.4
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,35 to 44 years,Average hourly wage,Dollars,units,24.29
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,45 to 54 years,Average hourly wage,Dollars,units,25.98
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,55 to 64 years,Average hourly wage,Dollars,units,25.87
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,65 years old and over,Average hourly wage,Dollars,units,23.4
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),15 to 24 years,Average hourly wage,Dollars,units,13.67
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),25 to 34 years,Average hourly wage,Dollars,units,18.86
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),35 to 44 years,Average hourly wage,Dollars,units,23.31
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),45 to 54 years,Average hourly wage,Dollars,units,24.68
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),55 to 64 years,Average hourly wage,Dollars,units,24.6
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),65 years old and over,Average hourly wage,Dollars,units,22.5
2013,2016A000011124,Canada,Business non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,14.23
2013,2016A000011124,Canada,Business non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,20.88
2013,2016A000011124,Canada,Business non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,27.21
2013,2016A000011124,Canada,Business non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,29.94
2013,2016A000011124,Canada,Business non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,29.93
2013,2016A000011124,Canada,Business non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,26.68
2013,2016A000011124,Canada,Government non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,18.86
2013,2016A000011124,Canada,Government non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,26.29
2013,2016A000011124,Canada,Government non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,31.98
2013,2016A000011124,Canada,Government non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,33.42
2013,2016A000011124,Canada,Government non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,34.65
2013,2016A000011124,Canada,Government non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,38.18
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,17.62
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,24.82
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,29.89
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,30.12
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,29.03
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,28.08
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,15 to 24 years,Average hourly wage,Dollars,units,13.22
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,25 to 34 years,Average hourly wage,Dollars,units,17.72
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,35 to 44 years,Average hourly wage,Dollars,units,21.42
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,45 to 54 years,Average hourly wage,Dollars,units,21.82
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,55 to 64 years,Average hourly wage,Dollars,units,19.74
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,65 years old and over,Average hourly wage,Dollars,units,16.92
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),15 to 24 years,Average hourly wage,Dollars,units,12.35
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),25 to 34 years,Average hourly wage,Dollars,units,16.52
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),35 to 44 years,Average hourly wage,Dollars,units,19.37
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),45 to 54 years,Average hourly wage,Dollars,units,19.64
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),55 to 64 years,Average hourly wage,Dollars,units,18.37
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),65 years old and over,Average hourly wage,Dollars,units,15.9
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,15.29
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,21.61
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,28.25
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,29.72
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,25.96
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,23.11
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,19.24
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,26.57
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,31.73
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,31.98
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,31.74
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,33.66
2013,2016A000211,Prince Edward Island,Total non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,16.16
2013,2016A000211,Prince Edward Island,Total non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,22.15
2013,2016A000211,Prince Edward Island,Total non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,25.04
2013,2016A000211,Prince Edward Island,Total non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,26.27
2013,2016A000211,Prince Edward Island,Total non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,28.09
2013,2016A000211,Prince Edward Island,Total non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,22.41
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,15 to 24 years,Average hourly wage,Dollars,units,12.01
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,25 to 34 years,Average hourly wage,Dollars,units,15.28
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,35 to 44 years,Average hourly wage,Dollars,units,17.98
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,45 to 54 years,Average hourly wage,Dollars,units,17.85
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,55 to 64 years,Average hourly wage,Dollars,units,17.26
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,65 years old and over,Average hourly wage,Dollars,units,16.3
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),15 to 24 years,Average hourly wage,Dollars,units,11.86
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),25 to 34 years,Average hourly wage,Dollars,units,15.07
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),35 to 44 years,Average hourly wage,Dollars,units,17.36
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),45 to 54 years,Average hourly wage,Dollars,units,16.89
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),55 to 64 years,Average hourly wage,Dollars,units,16.73
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),65 years old and over,Average hourly wage,Dollars,units,16.07
2013,2016A000211,Prince Edward Island,Business non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,12.27
2013,2016A000211,Prince Edward Island,Business non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,15.93
2013,2016A000211,Prince Edward Island,Business non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,20.05
2013,2016A000211,Prince Edward Island,Business non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,20.84
2013,2016A000211,Prince Edward Island,Business non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,19.13
2013,2016A000211,Prince Edward Island,Business non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,17.18
2013,2016A000211,Prince Edward Island,Government non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,18.14
2013,2016A000211,Prince Edward Island,Government non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,24.46
2013,2016A000211,Prince Edward Island,Government non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,27.29
2013,2016A000211,Prince Edward Island,Government non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,28.86
2013,2016A000211,Prince Edward Island,Government non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,31.85
2013,2016A000211,Prince Edward Island,Government non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,25.61
2013,2016A000212,Nova Scotia,Total non-profit institutions,15 to 24 years,Average hourly wage,Dollars,units,16.31
2013,2016A000212,Nova Scotia,Total non-profit institutions,25 to 34 years,Average hourly wage,Dollars,units,23.12
2013,2016A000212,Nova Scotia,Total non-profit institutions,35 to 44 years,Average hourly wage,Dollars,units,26.78
2013,2016A000212,Nova Scotia,Total non-profit institutions,45 to 54 years,Average hourly wage,Dollars,units,28.66
2013,2016A000212,Nova Scotia,Total non-profit institutions,55 to 64 years,Average hourly wage,Dollars,units,28.5
2013,2016A000212,Nova Scotia,Total non-profit institutions,65 years old and over,Average hourly wage,Dollars,units,29.93
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,15 to 24 years,Average hourly wage,Dollars,units,12.31
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,25 to 34 years,Average hourly wage,Dollars,units,16.88
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,35 to 44 years,Average hourly wage,Dollars,units,20.36
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,45 to 54 years,Average hourly wage,Dollars,units,21.23
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,55 to 64 years,Average hourly wage,Dollars,units,20.89
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,65 years old and over,Average hourly wage,Dollars,units,18.69
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),15 to 24 years,Average hourly wage,Dollars,units,12.18
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),25 to 34 years,Average hourly wage,Dollars,units,16.65
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),35 to 44 years,Average hourly wage,Dollars,units,19.9
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),45 to 54 years,Average hourly wage,Dollars,units,20.57
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),55 to 64 years,Average hourly wage,Dollars,units,20.35
