REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,20.41
2013,2016A000011124,Canada,Total non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,22.8
2013,2016A000011124,Canada,Total non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,33.74
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,High school diploma and less,Average hourly wage,Dollars,units,18.98
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Trade certificate,Average hourly wage,Dollars,units,21.31
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,University degree and higher,Average hourly wage,Dollars,units,26.83
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),High school diploma and less,Average hourly wage,Dollars,units,17.94
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Trade certificate,Average hourly wage,Dollars,units,19.98
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),University degree and higher,Average hourly wage,Dollars,units,25.74
2013,2016A000011124,Canada,Business non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,21.17
2013,2016A000011124,Canada,Business non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,24.3
2013,2016A000011124,Canada,Business non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,30.68
2013,2016A000011124,Canada,Government non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,21.53
2013,2016A000011124,Canada,Government non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,23.44
2013,2016A000011124,Canada,Government non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,36.92
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,18.07
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,23.29
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,35.81
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,High school diploma and less,Average hourly wage,Dollars,units,16.75
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Trade certificate,Average hourly wage,Dollars,units,19.25
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,University degree and higher,Average hourly wage,Dollars,units,22.16
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),High school diploma and less,Average hourly wage,Dollars,units,15.21
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Trade certificate,Average hourly wage,Dollars,units,16.49
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),University degree and higher,Average hourly wage,Dollars,units,20.71
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,21.05
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,25.53
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,30.09
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,18.55
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,24.29
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,39.07
2013,2016A000211,Prince Edward Island,Total non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,16.9
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,20.1
2013,2016A000211,Prince Edward Island,Total non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,31.98
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,High school diploma and less,Average hourly wage,Dollars,units,13.37
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Trade certificate,Average hourly wage,Dollars,units,15.49
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,University degree and higher,Average hourly wage,Dollars,units,19.04
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),High school diploma and less,Average hourly wage,Dollars,units,12.76
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Trade certificate,Average hourly wage,Dollars,units,14.1
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),University degree and higher,Average hourly wage,Dollars,units,18.4
2013,2016A000211,Prince Edward Island,Business non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,14.78
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,18.27
2013,2016A000211,Prince Edward Island,Business non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,21.57
2013,2016A000211,Prince Edward Island,Government non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,18.56
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,20.98
2013,2016A000211,Prince Edward Island,Government non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,36.91
2013,2016A000212,Nova Scotia,Total non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,17.94
2013,2016A000212,Nova Scotia,Total non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,21.46
2013,2016A000212,Nova Scotia,Total non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,31.86
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,High school diploma and less,Average hourly wage,Dollars,units,15.37
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Trade certificate,Average hourly wage,Dollars,units,19.19
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,University degree and higher,Average hourly wage,Dollars,units,21.93
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),High school diploma and less,Average hourly wage,Dollars,units,14.7
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Trade certificate,Average hourly wage,Dollars,units,18.37
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),University degree and higher,Average hourly wage,Dollars,units,21.47
2013,2016A000212,Nova Scotia,Business non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,17.06
2013,2016A000212,Nova Scotia,Business non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,21.64
2013,2016A000212,Nova Scotia,Business non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,24.17
2013,2016A000212,Nova Scotia,Government non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,19.29
2013,2016A000212,Nova Scotia,Government non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,22.27
2013,2016A000212,Nova Scotia,Government non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,35.39
2013,2016A000213,New Brunswick,Total non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,17.94
2013,2016A000213,New Brunswick,Total non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,21.13
2013,2016A000213,New Brunswick,Total non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,34.97
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,High school diploma and less,Average hourly wage,Dollars,units,14.91
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Trade certificate,Average hourly wage,Dollars,units,18.03
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,University degree and higher,Average hourly wage,Dollars,units,21.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),High school diploma and less,Average hourly wage,Dollars,units,13.99
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Trade certificate,Average hourly wage,Dollars,units,17.57
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),University degree and higher,Average hourly wage,Dollars,units,20.33
2013,2016A000213,New Brunswick,Business non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,17.14
2013,2016A000213,New Brunswick,Business non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,19.23
2013,2016A000213,New Brunswick,Business non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,23.94
2013,2016A000213,New Brunswick,Government non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,19.59
2013,2016A000213,New Brunswick,Government non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,22.16
2013,2016A000213,New Brunswick,Government non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,39.29
2013,2016A000224,Quebec,Total non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,19.59
2013,2016A000224,Quebec,Total non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,21.22
2013,2016A000224,Quebec,Total non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,33.57
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,High school diploma and less,Average hourly wage,Dollars,units,17.81
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,Trade certificate,Average hourly wage,Dollars,units,18.39
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,University degree and higher,Average hourly wage,Dollars,units,26.49
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),High school diploma and less,Average hourly wage,Dollars,units,17.25
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),Trade certificate,Average hourly wage,Dollars,units,17.76
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),University degree and higher,Average hourly wage,Dollars,units,25.96
2013,2016A000224,Quebec,Business non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,19.11
2013,2016A000224,Quebec,Business non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,19.96
2013,2016A000224,Quebec,Business non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,28.17
2013,2016A000224,Quebec,Government non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,20.84
2013,2016A000224,Quebec,Government non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,22.15
2013,2016A000224,Quebec,Government non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,36.7
2013,2016A000235,Ontario,Total non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,21.37
2013,2016A000235,Ontario,Total non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,24.14
2013,2016A000235,Ontario,Total non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,34.42
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,High school diploma and less,Average hourly wage,Dollars,units,19.57
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,Trade certificate,Average hourly wage,Dollars,units,22.94
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,University degree and higher,Average hourly wage,Dollars,units,28.11
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),High school diploma and less,Average hourly wage,Dollars,units,18.7
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),Trade certificate,Average hourly wage,Dollars,units,21.76
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),University degree and higher,Average hourly wage,Dollars,units,26.84
2013,2016A000235,Ontario,Business non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,21.17
2013,2016A000235,Ontario,Business non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,25.52
2013,2016A000235,Ontario,Business non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,32.38
2013,2016A000235,Ontario,Government non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,23.16
2013,2016A000235,Ontario,Government non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,25.05
2013,2016A000235,Ontario,Government non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,38.08
2013,2016A000246,Manitoba,Total non-profit institutions,High school diploma and less,Average hourly wage,Dollars,units,17.68
2013,2016A000246,Manitoba,Total non-profit institutions,Trade certificate,Average hourly wage,Dollars,units,21.9
2013,2016A000246,Manitoba,Total non-profit institutions,University degree and higher,Average hourly wage,Dollars,units,30.64
2013,2016A000246,Manitoba,Total non-profit institutions excluding governments,High school diploma and less,Average hourly wage,Dollars,units,16.41
2013,2016A000246,Manitoba,Total non-profit institutions excluding governments,Trade certificate,Average hourly wage,Dollars,units,19.69
