REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,28.85
2013,2016A000011124,Canada,Total non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,28.41
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Immigrant employees,Average hourly wage,Dollars,units,22.6
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-immigrant employees,Average hourly wage,Dollars,units,23.35
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Immigrant employees,Average hourly wage,Dollars,units,21.62
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average hourly wage,Dollars,units,22.49
2013,2016A000011124,Canada,Business non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,25.47
2013,2016A000011124,Canada,Business non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,25.89
2013,2016A000011124,Canada,Government non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,31.71
2013,2016A000011124,Canada,Government non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,31.03
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,37.34
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,27.73
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Immigrant employees,Average hourly wage,Dollars,units,18.47
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Non-immigrant employees,Average hourly wage,Dollars,units,19.79
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Immigrant employees,Average hourly wage,Dollars,units,17.35
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average hourly wage,Dollars,units,18.15
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,25.28
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,25.7
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,39.72
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,29.81
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,27.37
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,24.65
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Immigrant employees,Average hourly wage,Dollars,units,13.98
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Non-immigrant employees,Average hourly wage,Dollars,units,16.89
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Immigrant employees,Average hourly wage,Dollars,units,13.61
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average hourly wage,Dollars,units,16.38
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,15.69
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,18.39
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,31.06
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,27.34
2013,2016A000212,Nova Scotia,Total non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,30.43
2013,2016A000212,Nova Scotia,Total non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,26.09
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Immigrant employees,Average hourly wage,Dollars,units,18.63
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Non-immigrant employees,Average hourly wage,Dollars,units,19.4
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Immigrant employees,Average hourly wage,Dollars,units,18.31
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average hourly wage,Dollars,units,18.98
2013,2016A000212,Nova Scotia,Business non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,19.95
2013,2016A000212,Nova Scotia,Business non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,21.05
2013,2016A000212,Nova Scotia,Government non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,33.42
2013,2016A000212,Nova Scotia,Government non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,28.66
2013,2016A000213,New Brunswick,Total non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,33.62
2013,2016A000213,New Brunswick,Total non-profit institutions,Non-immigrant employees,Average hourly wage,Dollars,units,26.5
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Immigrant employees,Average hourly wage,Dollars,units,16.22
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Non-immigrant employees,Average hourly wage,Dollars,units,17.82
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Immigrant employees,Average hourly wage,Dollars,units,15.74
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Non-immigrant employees,Average hourly wage,Dollars,units,17.16
2013,2016A000213,New Brunswick,Business non-profit institutions,Immigrant employees,Average hourly wage,Dollars,units,17.76
