REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,15 to 24 years,Hours worked,Hours,thousands,214477.0
2013,2016A000011124,Canada,Total non-profit institutions,25 to 34 years,Hours worked,Hours,thousands,743219.0
2013,2016A000011124,Canada,Total non-profit institutions,35 to 44 years,Hours worked,Hours,thousands,804389.0
2013,2016A000011124,Canada,Total non-profit institutions,45 to 54 years,Hours worked,Hours,thousands,955066.0
2013,2016A000011124,Canada,Total non-profit institutions,55 to 64 years,Hours worked,Hours,thousands,689447.0
2013,2016A000011124,Canada,Total non-profit institutions,65 years old and over,Hours worked,Hours,thousands,126654.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,15 to 24 years,Hours worked,Hours,thousands,85937.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,25 to 34 years,Hours worked,Hours,thousands,250988.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,35 to 44 years,Hours worked,Hours,thousands,265338.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,45 to 54 years,Hours worked,Hours,thousands,297250.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,55 to 64 years,Hours worked,Hours,thousands,228711.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,65 years old and over,Hours worked,Hours,thousands,51764.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),15 to 24 years,Hours worked,Hours,thousands,59038.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),25 to 34 years,Hours worked,Hours,thousands,184666.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),35 to 44 years,Hours worked,Hours,thousands,198700.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),45 to 54 years,Hours worked,Hours,thousands,223419.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),55 to 64 years,Hours worked,Hours,thousands,174301.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),65 years old and over,Hours worked,Hours,thousands,40669.0
2013,2016A000011124,Canada,Business non-profit institutions,15 to 24 years,Hours worked,Hours,thousands,26899.0
