REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,236625.0
2013,2016A000011124,Canada,Total non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,476648.0
2013,2016A000011124,Canada,Total non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,466372.0
2013,2016A000011124,Canada,Total non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,530812.0
2013,2016A000011124,Canada,Total non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,419074.0
2013,2016A000011124,Canada,Total non-profit institutions,65 years old and over,Number of jobs,Jobs,units,125598.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,15 to 24 years,Number of jobs,Jobs,units,98296.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,25 to 34 years,Number of jobs,Jobs,units,153685.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,35 to 44 years,Number of jobs,Jobs,units,150827.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,45 to 54 years,Number of jobs,Jobs,units,163302.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,55 to 64 years,Number of jobs,Jobs,units,138006.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,65 years old and over,Number of jobs,Jobs,units,50245.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),15 to 24 years,Number of jobs,Jobs,units,67729.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),25 to 34 years,Number of jobs,Jobs,units,115852.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),35 to 44 years,Number of jobs,Jobs,units,115636.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),45 to 54 years,Number of jobs,Jobs,units,125043.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),55 to 64 years,Number of jobs,Jobs,units,106961.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),65 years old and over,Number of jobs,Jobs,units,40162.0
2013,2016A000011124,Canada,Business non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,30566.0
2013,2016A000011124,Canada,Business non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,37830.0
2013,2016A000011124,Canada,Business non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,35193.0
2013,2016A000011124,Canada,Business non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,38260.0
2013,2016A000011124,Canada,Business non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,31042.0
2013,2016A000011124,Canada,Business non-profit institutions,65 years old and over,Number of jobs,Jobs,units,10085.0
