REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,540480.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,1714659.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Immigrant employees,Number of jobs,Jobs,units,169127.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-immigrant employees,Number of jobs,Jobs,units,585234.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Immigrant employees,Number of jobs,Jobs,units,128206.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Non-immigrant employees,Number of jobs,Jobs,units,443179.0
2013,2016A000011124,Canada,Business non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,40922.0
2013,2016A000011124,Canada,Business non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,142055.0
2013,2016A000011124,Canada,Government non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,371351.0
2013,2016A000011124,Canada,Government non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,1129424.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,2226.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,37701.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Immigrant employees,Number of jobs,Jobs,units,226.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Non-immigrant employees,Number of jobs,Jobs,units,7785.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Immigrant employees,Number of jobs,Jobs,units,193.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Non-immigrant employees,Number of jobs,Jobs,units,6107.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,33.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,1678.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,2000.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,29915.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,837.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,10676.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Immigrant employees,Number of jobs,Jobs,units,194.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Non-immigrant employees,Number of jobs,Jobs,units,2755.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Immigrant employees,Number of jobs,Jobs,units,158.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Non-immigrant employees,Number of jobs,Jobs,units,2087.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,36.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,667.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,644.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,7921.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Immigrant employees,Number of jobs,Jobs,units,6367.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Non-immigrant employees,Number of jobs,Jobs,units,65206.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Immigrant employees,Number of jobs,Jobs,units,1294.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Non-immigrant employees,Number of jobs,Jobs,units,18164.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Immigrant employees,Number of jobs,Jobs,units,1055.0
