REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2013,2016A000248,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,33.75,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,28.01,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,28.9,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,22.11,True,False,False,False,False,0
2013,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,25.94,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,20.94,True,False,False,False,False,0
2013,2016A000248,Business non-profit institutions,Male employees,Average hourly wage,Dollars,units,34.95,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Female employees,Average hourly wage,Dollars,units,26.14,True,False,False,False,False,0
2013,2016A000248,Government non-profit institutions,Male employees,Average hourly wage,Dollars,units,36.9,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Female employees,Average hourly wage,Dollars,units,30.02,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,34.84,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,28.77,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,30.54,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,22.92,True,False,False,False,False,0
2014,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,27.36,True,False,False,False,False,1
2014,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,21.6,True,False,False,False,False,0
2014,2016A000248,Business non-profit institutions,Male employees,Average hourly wage,Dollars,units,37.2,True,False,False,False,False,1
2014,2016A000248,Business non-profit institutions,Female employees,Average hourly wage,Dollars,units,27.56,True,False,False,False,False,0
2014,2016A000248,Government non-profit institutions,Male employees,Average hourly wage,Dollars,units,37.64,True,False,False,False,False,1
2014,2016A000248,Government non-profit institutions,Female employees,Average hourly wage,Dollars,units,30.82,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,35.99,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,29.9,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,30.52,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,23.31,True,False,False,False,False,0
2015,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,27.65,True,False,False,False,False,1
2015,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,22.23,True,False,False,False,False,0
2015,2016A000248,Business non-profit institutions,Male employees,Average hourly wage,Dollars,units,36.38,True,False,False,False,False,1
2015,2016A000248,Business non-profit institutions,Female employees,Average hourly wage,Dollars,units,27.03,True,False,False,False,False,0
2015,2016A000248,Government non-profit institutions,Male employees,Average hourly wage,Dollars,units,39.65,True,False,False,False,False,1
2015,2016A000248,Government non-profit institutions,Female employees,Average hourly wage,Dollars,units,32.28,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,35.8,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,29.94,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,30.88,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,24.16,True,False,False,False,False,0
2016,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,28.55,True,False,False,False,False,1
2016,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,23.35,True,False,False,False,False,0
2016,2016A000248,Business non-profit institutions,Male employees,Average hourly wage,Dollars,units,35.6,True,False,False,False,False,1
2016,2016A000248,Business non-profit institutions,Female employees,Average hourly wage,Dollars,units,26.92,True,False,False,False,False,0
2016,2016A000248,Government non-profit institutions,Male employees,Average hourly wage,Dollars,units,38.76,True,False,False,False,False,1
2016,2016A000248,Government non-profit institutions,Female employees,Average hourly wage,Dollars,units,31.92,True,False,False,False,False,0
2017,2016A000248,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,36.83,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,31.1,True,False,False,False,False,0
2017,2016A000248,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,31.47,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,24.61,True,False,False,False,False,0
2017,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,29.63,True,False,False,False,False,1
2017,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,23.85,True,False,False,False,False,0
2017,2016A000248,Business non-profit institutions,Male employees,Average hourly wage,Dollars,units,35.38,True,False,False,False,False,1
2017,2016A000248,Business non-profit institutions,Female employees,Average hourly wage,Dollars,units,27.22,True,False,False,False,False,0
2017,2016A000248,Government non-profit institutions,Male employees,Average hourly wage,Dollars,units,40.06,True,False,False,False,False,1
2017,2016A000248,Government non-profit institutions,Female employees,Average hourly wage,Dollars,units,33.38,True,False,False,False,False,0
2018,2016A000248,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,35.75,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,30.7,True,False,False,False,False,0
2018,2016A000248,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,29.62,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,24.17,True,False,False,False,False,0
2018,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,27.36,True,False,False,False,False,1
2018,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,23.41,True,False,False,False,False,0
2018,2016A000248,Business non-profit institutions,Male employees,Average hourly wage,Dollars,units,34.96,True,False,False,False,False,1
2018,2016A000248,Business non-profit institutions,Female employees,Average hourly wage,Dollars,units,26.76,True,False,False,False,False,0
2018,2016A000248,Government non-profit institutions,Male employees,Average hourly wage,Dollars,units,39.58,True,False,False,False,False,1
2018,2016A000248,Government non-profit institutions,Female employees,Average hourly wage,Dollars,units,33.05,True,False,False,False,False,0
2013,2016A000259,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,31.4,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,26.95,False,True,False,False,False,0
2013,2016A000259,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,26.02,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,21.65,False,True,False,False,False,0
2013,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,24.88,False,True,False,False,False,1
2013,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,21.5,False,True,False,False,False,0
2013,2016A000259,Business non-profit institutions,Male employees,Average hourly wage,Dollars,units,28.14,False,True,False,False,False,1
2013,2016A000259,Business non-profit institutions,Female employees,Average hourly wage,Dollars,units,22.18,False,True,False,False,False,0
2013,2016A000259,Government non-profit institutions,Male employees,Average hourly wage,Dollars,units,35.33,False,True,False,False,False,1
2013,2016A000259,Government non-profit institutions,Female employees,Average hourly wage,Dollars,units,29.38,False,True,False,False,False,0
2014,2016A000259,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,32.04,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,27.65,False,True,False,False,False,0
2014,2016A000259,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,26.32,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,21.93,False,True,False,False,False,0
2014,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,25.12,False,True,False,False,False,1
2014,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,21.86,False,True,False,False,False,0
2014,2016A000259,Business non-profit institutions,Male employees,Average hourly wage,Dollars,units,28.54,False,True,False,False,False,1
2014,2016A000259,Business non-profit institutions,Female employees,Average hourly wage,Dollars,units,22.2,False,True,False,False,False,0
2014,2016A000259,Government non-profit institutions,Male employees,Average hourly wage,Dollars,units,36.27,False,True,False,False,False,1
2014,2016A000259,Government non-profit institutions,Female employees,Average hourly wage,Dollars,units,30.32,False,True,False,False,False,0
2015,2016A000259,Total non-profit institutions,Male employees,Average hourly wage,Dollars,units,31.76,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions,Female employees,Average hourly wage,Dollars,units,27.57,False,True,False,False,False,0
2015,2016A000259,Total non-profit institutions excluding governments,Male employees,Average hourly wage,Dollars,units,26.58,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions excluding governments,Female employees,Average hourly wage,Dollars,units,22.17,False,True,False,False,False,0
2015,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Average hourly wage,Dollars,units,25.11,False,True,False,False,False,1
2015,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Average hourly wage,Dollars,units,21.87,False,True,False,False,False,0
2015,2016A000259,Business non-profit institutions,Male employees,Average hourly wage,Dollars,units,29.21,False,True,False,False,False,1
2015,2016A000259,Business non-profit institutions,Female employees,Average hourly wage,Dollars,units,23.15,False,True,False,False,False,0
2015,2016A000259,Government non-profit institutions,Male employees,Average hourly wage,Dollars,units,35.76,False,True,False,False,False,1
