REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Age_group
2013,2016A000248,Total non-profit institutions,15 to 24 years,Hours worked,Hours,thousands,29639.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions,25 to 34 years,Hours worked,Hours,thousands,99290.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions,35 to 44 years,Hours worked,Hours,thousands,95232.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions,45 to 54 years,Hours worked,Hours,thousands,105614.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions,55 to 64 years,Hours worked,Hours,thousands,79436.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions,65 years old and over,Hours worked,Hours,thousands,16075.0,True,False,False,False,False,70
2013,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Hours worked,Hours,thousands,10956.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Hours worked,Hours,thousands,28888.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Hours worked,Hours,thousands,27701.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Hours worked,Hours,thousands,29661.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Hours worked,Hours,thousands,23767.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Hours worked,Hours,thousands,5375.0,True,False,False,False,False,70
2013,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Hours worked,Hours,thousands,7331.0,True,False,False,False,False,20
2013,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Hours worked,Hours,thousands,20695.0,True,False,False,False,False,30
2013,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Hours worked,Hours,thousands,20485.0,True,False,False,False,False,40
2013,2016A000248,Non-profit institutions serving households (community organizations),45 to 54 years,Hours worked,Hours,thousands,21988.0,True,False,False,False,False,50
2013,2016A000248,Non-profit institutions serving households (community organizations),55 to 64 years,Hours worked,Hours,thousands,17872.0,True,False,False,False,False,60
2013,2016A000248,Non-profit institutions serving households (community organizations),65 years old and over,Hours worked,Hours,thousands,4105.0,True,False,False,False,False,70
2013,2016A000248,Business non-profit institutions,15 to 24 years,Hours worked,Hours,thousands,3625.0,True,False,False,False,False,20
2013,2016A000248,Business non-profit institutions,25 to 34 years,Hours worked,Hours,thousands,8193.0,True,False,False,False,False,30
2013,2016A000248,Business non-profit institutions,35 to 44 years,Hours worked,Hours,thousands,7216.0,True,False,False,False,False,40
2013,2016A000248,Business non-profit institutions,45 to 54 years,Hours worked,Hours,thousands,7674.0,True,False,False,False,False,50
2013,2016A000248,Business non-profit institutions,55 to 64 years,Hours worked,Hours,thousands,5895.0,True,False,False,False,False,60
2013,2016A000248,Business non-profit institutions,65 years old and over,Hours worked,Hours,thousands,1270.0,True,False,False,False,False,70
2013,2016A000248,Government non-profit institutions,15 to 24 years,Hours worked,Hours,thousands,18684.0,True,False,False,False,False,20
2013,2016A000248,Government non-profit institutions,25 to 34 years,Hours worked,Hours,thousands,70402.0,True,False,False,False,False,30
2013,2016A000248,Government non-profit institutions,35 to 44 years,Hours worked,Hours,thousands,67531.0,True,False,False,False,False,40
2013,2016A000248,Government non-profit institutions,45 to 54 years,Hours worked,Hours,thousands,75952.0,True,False,False,False,False,50
2013,2016A000248,Government non-profit institutions,55 to 64 years,Hours worked,Hours,thousands,55669.0,True,False,False,False,False,60
2013,2016A000248,Government non-profit institutions,65 years old and over,Hours worked,Hours,thousands,10700.0,True,False,False,False,False,70
2014,2016A000248,Total non-profit institutions,15 to 24 years,Hours worked,Hours,thousands,29699.0,True,False,False,False,False,20
2014,2016A000248,Total non-profit institutions,25 to 34 years,Hours worked,Hours,thousands,99745.0,True,False,False,False,False,30
2014,2016A000248,Total non-profit institutions,35 to 44 years,Hours worked,Hours,thousands,95270.0,True,False,False,False,False,40
2014,2016A000248,Total non-profit institutions,45 to 54 years,Hours worked,Hours,thousands,103109.0,True,False,False,False,False,50
2014,2016A000248,Total non-profit institutions,55 to 64 years,Hours worked,Hours,thousands,80055.0,True,False,False,False,False,60
2014,2016A000248,Total non-profit institutions,65 years old and over,Hours worked,Hours,thousands,17232.0,True,False,False,False,False,70
2014,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Hours worked,Hours,thousands,11012.0,True,False,False,False,False,20
