REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Immigrant_status
2013,2016A000248,Total non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,122310.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,302975.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Hours worked,Hours,thousands,29643.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Hours worked,Hours,thousands,96705.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Hours worked,Hours,thousands,22332.0,True,False,False,False,False,0
2013,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Hours worked,Hours,thousands,70143.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,7311.0,True,False,False,False,False,0
2013,2016A000248,Business non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,26561.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,92667.0,True,False,False,False,False,0
2013,2016A000248,Government non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,206270.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,124877.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,300234.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Hours worked,Hours,thousands,30402.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Hours worked,Hours,thousands,97510.0,True,False,False,False,False,1
2014,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Hours worked,Hours,thousands,23128.0,True,False,False,False,False,0
2014,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Hours worked,Hours,thousands,71159.0,True,False,False,False,False,1
2014,2016A000248,Business non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,7275.0,True,False,False,False,False,0
2014,2016A000248,Business non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,26351.0,True,False,False,False,False,1
2014,2016A000248,Government non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,94474.0,True,False,False,False,False,0
2014,2016A000248,Government non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,202724.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,127416.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,300209.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Hours worked,Hours,thousands,31678.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Hours worked,Hours,thousands,99654.0,True,False,False,False,False,1
2015,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Hours worked,Hours,thousands,23929.0,True,False,False,False,False,0
2015,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Hours worked,Hours,thousands,72390.0,True,False,False,False,False,1
2015,2016A000248,Business non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,7748.0,True,False,False,False,False,0
2015,2016A000248,Business non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,27264.0,True,False,False,False,False,1
2015,2016A000248,Government non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,95738.0,True,False,False,False,False,0
2015,2016A000248,Government non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,200555.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,132444.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,302866.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions excluding governments,Immigrant employees,Hours worked,Hours,thousands,31614.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions excluding governments,Non-immigrant employees,Hours worked,Hours,thousands,95611.0,True,False,False,False,False,1
2016,2016A000248,Non-profit institutions serving households (community organizations),Immigrant employees,Hours worked,Hours,thousands,23850.0,True,False,False,False,False,0
2016,2016A000248,Non-profit institutions serving households (community organizations),Non-immigrant employees,Hours worked,Hours,thousands,69263.0,True,False,False,False,False,1
2016,2016A000248,Business non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,7763.0,True,False,False,False,False,0
2016,2016A000248,Business non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,26348.0,True,False,False,False,False,1
