REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Age_group
2013,2016A000248,Total non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,27914.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,60457.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,54255.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,57052.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,45190.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions,65 years old and over,Number of jobs,Jobs,units,12792.0,True,False,False,False,False,70
2013,2016A000248,Total non-profit institutions excluding governments,15 to 24 years,Number of jobs,Jobs,units,11054.0,True,False,False,False,False,20
2013,2016A000248,Total non-profit institutions excluding governments,25 to 34 years,Number of jobs,Jobs,units,16762.0,True,False,False,False,False,30
2013,2016A000248,Total non-profit institutions excluding governments,35 to 44 years,Number of jobs,Jobs,units,15364.0,True,False,False,False,False,40
2013,2016A000248,Total non-profit institutions excluding governments,45 to 54 years,Number of jobs,Jobs,units,15807.0,True,False,False,False,False,50
2013,2016A000248,Total non-profit institutions excluding governments,55 to 64 years,Number of jobs,Jobs,units,13243.0,True,False,False,False,False,60
2013,2016A000248,Total non-profit institutions excluding governments,65 years old and over,Number of jobs,Jobs,units,4354.0,True,False,False,False,False,70
2013,2016A000248,Non-profit institutions serving households (community organizations),15 to 24 years,Number of jobs,Jobs,units,7462.0,True,False,False,False,False,20
2013,2016A000248,Non-profit institutions serving households (community organizations),25 to 34 years,Number of jobs,Jobs,units,12250.0,True,False,False,False,False,30
2013,2016A000248,Non-profit institutions serving households (community organizations),35 to 44 years,Number of jobs,Jobs,units,11572.0,True,False,False,False,False,40
2013,2016A000248,Non-profit institutions serving households (community organizations),45 to 54 years,Number of jobs,Jobs,units,11857.0,True,False,False,False,False,50
2013,2016A000248,Non-profit institutions serving households (community organizations),55 to 64 years,Number of jobs,Jobs,units,10052.0,True,False,False,False,False,60
2013,2016A000248,Non-profit institutions serving households (community organizations),65 years old and over,Number of jobs,Jobs,units,3357.0,True,False,False,False,False,70
2013,2016A000248,Business non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,3592.0,True,False,False,False,False,20
2013,2016A000248,Business non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,4512.0,True,False,False,False,False,30
2013,2016A000248,Business non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,3793.0,True,False,False,False,False,40
2013,2016A000248,Business non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,3950.0,True,False,False,False,False,50
2013,2016A000248,Business non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,3191.0,True,False,False,False,False,60
2013,2016A000248,Business non-profit institutions,65 years old and over,Number of jobs,Jobs,units,998.0,True,False,False,False,False,70
2013,2016A000248,Government non-profit institutions,15 to 24 years,Number of jobs,Jobs,units,16860.0,True,False,False,False,False,20
2013,2016A000248,Government non-profit institutions,25 to 34 years,Number of jobs,Jobs,units,43695.0,True,False,False,False,False,30
2013,2016A000248,Government non-profit institutions,35 to 44 years,Number of jobs,Jobs,units,38891.0,True,False,False,False,False,40
2013,2016A000248,Government non-profit institutions,45 to 54 years,Number of jobs,Jobs,units,41245.0,True,False,False,False,False,50
2013,2016A000248,Government non-profit institutions,55 to 64 years,Number of jobs,Jobs,units,31946.0,True,False,False,False,False,60
2013,2016A000248,Government non-profit institutions,65 years old and over,Number of jobs,Jobs,units,8438.0,True,False,False,False,False,70
