REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Education_group
2013,2016A000248,Total non-profit institutions,High school diploma and less,Number of jobs,Jobs,units,57931.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions,Trade certificate,Number of jobs,Jobs,units,14444.0,True,False,False,False,False,2
2013,2016A000248,Total non-profit institutions,University degree and higher,Number of jobs,Jobs,units,119283.0,True,False,False,False,False,3
2013,2016A000248,Total non-profit institutions excluding governments,High school diploma and less,Number of jobs,Jobs,units,24475.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Trade certificate,Number of jobs,Jobs,units,4886.0,True,False,False,False,False,2
2013,2016A000248,Total non-profit institutions excluding governments,University degree and higher,Number of jobs,Jobs,units,30321.0,True,False,False,False,False,3
2013,2016A000248,Non-profit institutions serving households (community organizations),High school diploma and less,Number of jobs,Jobs,units,16695.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Trade certificate,Number of jobs,Jobs,units,3290.0,True,False,False,False,False,2
2013,2016A000248,Non-profit institutions serving households (community organizations),University degree and higher,Number of jobs,Jobs,units,23898.0,True,False,False,False,False,3
2013,2016A000248,Business non-profit institutions,High school diploma and less,Number of jobs,Jobs,units,7780.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Trade certificate,Number of jobs,Jobs,units,1597.0,True,False,False,False,False,2
2013,2016A000248,Business non-profit institutions,University degree and higher,Number of jobs,Jobs,units,6424.0,True,False,False,False,False,3
2013,2016A000248,Government non-profit institutions,High school diploma and less,Number of jobs,Jobs,units,33456.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Trade certificate,Number of jobs,Jobs,units,9558.0,True,False,False,False,False,2
2013,2016A000248,Government non-profit institutions,University degree and higher,Number of jobs,Jobs,units,88962.0,True,False,False,False,False,3
2014,2016A000248,Total non-profit institutions,High school diploma and less,Number of jobs,Jobs,units,59450.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Trade certificate,Number of jobs,Jobs,units,13630.0,True,False,False,False,False,2
2014,2016A000248,Total non-profit institutions,University degree and higher,Number of jobs,Jobs,units,121708.0,True,False,False,False,False,3
2014,2016A000248,Total non-profit institutions excluding governments,High school diploma and less,Number of jobs,Jobs,units,25117.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Trade certificate,Number of jobs,Jobs,units,4779.0,True,False,False,False,False,2
2014,2016A000248,Total non-profit institutions excluding governments,University degree and higher,Number of jobs,Jobs,units,31055.0,True,False,False,False,False,3
