REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Education_group
2013,2016A000248,Total non-profit institutions,High school diploma and less,Wages and salaries,Dollars,millions,1805.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions,Trade certificate,Wages and salaries,Dollars,millions,690.0,True,False,False,False,False,2
2013,2016A000248,Total non-profit institutions,University degree and higher,Wages and salaries,Dollars,millions,7071.0,True,False,False,False,False,3
2013,2016A000248,Total non-profit institutions excluding governments,High school diploma and less,Wages and salaries,Dollars,millions,724.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Trade certificate,Wages and salaries,Dollars,millions,250.0,True,False,False,False,False,2
2013,2016A000248,Total non-profit institutions excluding governments,University degree and higher,Wages and salaries,Dollars,millions,1479.0,True,False,False,False,False,3
2013,2016A000248,Non-profit institutions serving households (community organizations),High school diploma and less,Wages and salaries,Dollars,millions,429.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Trade certificate,Wages and salaries,Dollars,millions,146.0,True,False,False,False,False,2
2013,2016A000248,Non-profit institutions serving households (community organizations),University degree and higher,Wages and salaries,Dollars,millions,1073.0,True,False,False,False,False,3
2013,2016A000248,Business non-profit institutions,High school diploma and less,Wages and salaries,Dollars,millions,295.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Trade certificate,Wages and salaries,Dollars,millions,104.0,True,False,False,False,False,2
2013,2016A000248,Business non-profit institutions,University degree and higher,Wages and salaries,Dollars,millions,406.0,True,False,False,False,False,3
2013,2016A000248,Government non-profit institutions,High school diploma and less,Wages and salaries,Dollars,millions,1080.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Trade certificate,Wages and salaries,Dollars,millions,440.0,True,False,False,False,False,2
2013,2016A000248,Government non-profit institutions,University degree and higher,Wages and salaries,Dollars,millions,5592.0,True,False,False,False,False,3
2014,2016A000248,Total non-profit institutions,High school diploma and less,Wages and salaries,Dollars,millions,1878.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Trade certificate,Wages and salaries,Dollars,millions,668.0,True,False,False,False,False,2
2014,2016A000248,Total non-profit institutions,University degree and higher,Wages and salaries,Dollars,millions,7295.0,True,False,False,False,False,3
2014,2016A000248,Total non-profit institutions excluding governments,High school diploma and less,Wages and salaries,Dollars,millions,768.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Trade certificate,Wages and salaries,Dollars,millions,255.0,True,False,False,False,False,2
2014,2016A000248,Total non-profit institutions excluding governments,University degree and higher,Wages and salaries,Dollars,millions,1565.0,True,False,False,False,False,3
2014,2016A000248,Non-profit institutions serving households (community organizations),High school diploma and less,Wages and salaries,Dollars,millions,459.0,True,False,False,False,False,1
2014,2016A000248,Non-profit institutions serving households (community organizations),Trade certificate,Wages and salaries,Dollars,millions,148.0,True,False,False,False,False,2
2014,2016A000248,Non-profit institutions serving households (community organizations),University degree and higher,Wages and salaries,Dollars,millions,1137.0,True,False,False,False,False,3
2014,2016A000248,Business non-profit institutions,High school diploma and less,Wages and salaries,Dollars,millions,309.0,True,False,False,False,False,1
2014,2016A000248,Business non-profit institutions,Trade certificate,Wages and salaries,Dollars,millions,106.0,True,False,False,False,False,2
2014,2016A000248,Business non-profit institutions,University degree and higher,Wages and salaries,Dollars,millions,428.0,True,False,False,False,False,3
2014,2016A000248,Government non-profit institutions,High school diploma and less,Wages and salaries,Dollars,millions,1110.0,True,False,False,False,False,1
