REF_DATE,DGUID,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE,GEO_Alberta,GEO_British Columbia,GEO_Nova Scotia,GEO_Ontario,GEO_Quebec,Gender_group
2013,2016A000248,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4404.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,8258.0,True,False,False,False,False,0
2013,2016A000248,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,1485.0,True,False,False,False,False,1
2013,2016A000248,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,1658.0,True,False,False,False,False,0
2013,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,894.0,True,False,False,False,False,1
2013,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,1214.0,True,False,False,False,False,0
2013,2016A000248,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,591.0,True,False,False,False,False,1
2013,2016A000248,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,443.0,True,False,False,False,False,0
2013,2016A000248,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,2919.0,True,False,False,False,False,1
2013,2016A000248,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,6600.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4524.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,8493.0,True,False,False,False,False,0
2014,2016A000248,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,1562.0,True,False,False,False,False,1
2014,2016A000248,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,1760.0,True,False,False,False,False,0
2014,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,947.0,True,False,False,False,False,1
2014,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,1289.0,True,False,False,False,False,0
2014,2016A000248,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,615.0,True,False,False,False,False,1
2014,2016A000248,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,471.0,True,False,False,False,False,0
2014,2016A000248,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,2962.0,True,False,False,False,False,1
2014,2016A000248,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,6733.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4761.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,8830.0,True,False,False,False,False,0
2015,2016A000248,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,1618.0,True,False,False,False,False,1
2015,2016A000248,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,1826.0,True,False,False,False,False,0
2015,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,984.0,True,False,False,False,False,1
2015,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,1350.0,True,False,False,False,False,0
2015,2016A000248,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,634.0,True,False,False,False,False,1
2015,2016A000248,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,476.0,True,False,False,False,False,0
2015,2016A000248,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,3143.0,True,False,False,False,False,1
2015,2016A000248,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,7005.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4758.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,9054.0,True,False,False,False,False,0
2016,2016A000248,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,1542.0,True,False,False,False,False,1
2016,2016A000248,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,1868.0,True,False,False,False,False,0
2016,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,953.0,True,False,False,False,False,1
2016,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,1395.0,True,False,False,False,False,0
2016,2016A000248,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,589.0,True,False,False,False,False,1
2016,2016A000248,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,473.0,True,False,False,False,False,0
2016,2016A000248,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,3216.0,True,False,False,False,False,1
2016,2016A000248,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,7186.0,True,False,False,False,False,0
2017,2016A000248,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4832.0,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,9316.0,True,False,False,False,False,0
2017,2016A000248,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,1549.0,True,False,False,False,False,1
2017,2016A000248,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,1919.0,True,False,False,False,False,0
2017,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,993.0,True,False,False,False,False,1
2017,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,1445.0,True,False,False,False,False,0
2017,2016A000248,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,556.0,True,False,False,False,False,1
2017,2016A000248,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,474.0,True,False,False,False,False,0
2017,2016A000248,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,3283.0,True,False,False,False,False,1
2017,2016A000248,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,7397.0,True,False,False,False,False,0
2018,2016A000248,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4965.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,9670.0,True,False,False,False,False,0
2018,2016A000248,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,1583.0,True,False,False,False,False,1
2018,2016A000248,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,2014.0,True,False,False,False,False,0
2018,2016A000248,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,1027.0,True,False,False,False,False,1
2018,2016A000248,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,1510.0,True,False,False,False,False,0
2018,2016A000248,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,556.0,True,False,False,False,False,1
2018,2016A000248,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,505.0,True,False,False,False,False,0
2018,2016A000248,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,3382.0,True,False,False,False,False,1
2018,2016A000248,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,7655.0,True,False,False,False,False,0
2013,2016A000259,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4673.0,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,8245.0,False,True,False,False,False,0
2013,2016A000259,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,1634.0,False,True,False,False,False,1
2013,2016A000259,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,2078.0,False,True,False,False,False,0
2013,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,1019.0,False,True,False,False,False,1
2013,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,1617.0,False,True,False,False,False,0
2013,2016A000259,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,615.0,False,True,False,False,False,1
2013,2016A000259,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,461.0,False,True,False,False,False,0
2013,2016A000259,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,3038.0,False,True,False,False,False,1
2013,2016A000259,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,6166.0,False,True,False,False,False,0
2014,2016A000259,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4732.0,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,8532.0,False,True,False,False,False,0
2014,2016A000259,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,1651.0,False,True,False,False,False,1
2014,2016A000259,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,2155.0,False,True,False,False,False,0
2014,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,1024.0,False,True,False,False,False,1
2014,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,1672.0,False,True,False,False,False,0
2014,2016A000259,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,627.0,False,True,False,False,False,1
2014,2016A000259,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,483.0,False,True,False,False,False,0
2014,2016A000259,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,3081.0,False,True,False,False,False,1
2014,2016A000259,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,6377.0,False,True,False,False,False,0
2015,2016A000259,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4974.0,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,8803.0,False,True,False,False,False,0
2015,2016A000259,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,1815.0,False,True,False,False,False,1
2015,2016A000259,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,2291.0,False,True,False,False,False,0
2015,2016A000259,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,1100.0,False,True,False,False,False,1
2015,2016A000259,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,1732.0,False,True,False,False,False,0
2015,2016A000259,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,715.0,False,True,False,False,False,1
