REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Male employees,Average annual wages and salaries,Dollars,units,50721.0
2013,2016A000011124,Canada,Total non-profit institutions,Female employees,Average annual wages and salaries,Dollars,units,42081.0
2013,2016A000011124,Canada,Total non-profit institutions,Immigrant employees,Average annual wages and salaries,Dollars,units,45658.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-immigrant employees,Average annual wages and salaries,Dollars,units,44377.0
2013,2016A000011124,Canada,Total non-profit institutions,Indigenous identity employees,Average annual wages and salaries,Dollars,units,36004.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-indigenous identity employees,Average annual wages and salaries,Dollars,units,45035.0
2013,2016A000011124,Canada,Total non-profit institutions,Visible minority,Average annual wages and salaries,Dollars,units,40679.0
2013,2016A000011124,Canada,Total non-profit institutions,Not a visible minority,Average annual wages and salaries,Dollars,units,45917.0
2013,2016A000011124,Canada,Total non-profit institutions,High school diploma and less,Average annual wages and salaries,Dollars,units,26786.0
2013,2016A000011124,Canada,Total non-profit institutions,Trade certificate,Average annual wages and salaries,Dollars,units,35230.0
2013,2016A000011124,Canada,Total non-profit institutions,College diploma,Average annual wages and salaries,Dollars,units,42512.0
2013,2016A000011124,Canada,Total non-profit institutions,University degree and higher,Average annual wages and salaries,Dollars,units,56061.0
2013,2016A000011124,Canada,Total non-profit institutions,15 to 24 years,Average annual wages and salaries,Dollars,units,15276.0
2013,2016A000011124,Canada,Total non-profit institutions,25 to 34 years,Average annual wages and salaries,Dollars,units,37368.0
2013,2016A000011124,Canada,Total non-profit institutions,35 to 44 years,Average annual wages and salaries,Dollars,units,50779.0
2013,2016A000011124,Canada,Total non-profit institutions,45 to 54 years,Average annual wages and salaries,Dollars,units,55967.0
2013,2016A000011124,Canada,Total non-profit institutions,55 to 64 years,Average annual wages and salaries,Dollars,units,52213.0
2013,2016A000011124,Canada,Total non-profit institutions,65 years old and over,Average annual wages and salaries,Dollars,units,32411.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Male employees,Average annual wages and salaries,Dollars,units,43113.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Female employees,Average annual wages and salaries,Dollars,units,32531.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Immigrant employees,Average annual wages and salaries,Dollars,units,35809.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-immigrant employees,Average annual wages and salaries,Dollars,units,36392.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Indigenous identity employees,Average annual wages and salaries,Dollars,units,30551.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-indigenous identity employees,Average annual wages and salaries,Dollars,units,36534.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Visible minority,Average annual wages and salaries,Dollars,units,32177.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Not a visible minority,Average annual wages and salaries,Dollars,units,37467.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,High school diploma and less,Average annual wages and salaries,Dollars,units,24649.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Trade certificate,Average annual wages and salaries,Dollars,units,33386.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,College diploma,Average annual wages and salaries,Dollars,units,34158.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,University degree and higher,Average annual wages and salaries,Dollars,units,45952.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,15 to 24 years,Average annual wages and salaries,Dollars,units,12105.0
