REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Male employees,Average annual hours worked,Hours,units,1622.0
2013,2016A000011124,Canada,Total non-profit institutions,Female employees,Average annual hours worked,Hours,units,1543.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Male employees,Average annual hours worked,Hours,units,1662.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Female employees,Average annual hours worked,Hours,units,1511.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Male employees,Average annual hours worked,Hours,units,1642.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Female employees,Average annual hours worked,Hours,units,1495.0
2013,2016A000011124,Canada,Business non-profit institutions,Male employees,Average annual hours worked,Hours,units,1702.0
2013,2016A000011124,Canada,Business non-profit institutions,Female employees,Average annual hours worked,Hours,units,1577.0
2013,2016A000011124,Canada,Government non-profit institutions,Male employees,Average annual hours worked,Hours,units,1597.0
2013,2016A000011124,Canada,Government non-profit institutions,Female employees,Average annual hours worked,Hours,units,1557.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Male employees,Average annual hours worked,Hours,units,1752.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Female employees,Average annual hours worked,Hours,units,1682.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Male employees,Average annual hours worked,Hours,units,1732.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Female employees,Average annual hours worked,Hours,units,1705.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Male employees,Average annual hours worked,Hours,units,1728.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Female employees,Average annual hours worked,Hours,units,1706.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Male employees,Average annual hours worked,Hours,units,1744.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Female employees,Average annual hours worked,Hours,units,1700.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Male employees,Average annual hours worked,Hours,units,1759.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Female employees,Average annual hours worked,Hours,units,1677.0
