REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,622876.0
2013,2016A000011124,Canada,Total non-profit institutions,Trade certificate,Hours worked,Hours,thousands,276386.0
2013,2016A000011124,Canada,Total non-profit institutions,University degree and higher,Hours worked,Hours,thousands,1675561.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,High school diploma and less,Hours worked,Hours,thousands,274148.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Trade certificate,Hours worked,Hours,thousands,82605.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,University degree and higher,Hours worked,Hours,thousands,527946.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),High school diploma and less,Hours worked,Hours,thousands,185844.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Trade certificate,Hours worked,Hours,thousands,57313.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),University degree and higher,Hours worked,Hours,thousands,412088.0
2013,2016A000011124,Canada,Business non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,88303.0
2013,2016A000011124,Canada,Business non-profit institutions,Trade certificate,Hours worked,Hours,thousands,25292.0
2013,2016A000011124,Canada,Business non-profit institutions,University degree and higher,Hours worked,Hours,thousands,115855.0
2013,2016A000011124,Canada,Government non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,348729.0
2013,2016A000011124,Canada,Government non-profit institutions,Trade certificate,Hours worked,Hours,thousands,193783.0
2013,2016A000011124,Canada,Government non-profit institutions,University degree and higher,Hours worked,Hours,thousands,1147615.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,12620.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Trade certificate,Hours worked,Hours,thousands,5257.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,University degree and higher,Hours worked,Hours,thousands,27227.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,High school diploma and less,Hours worked,Hours,thousands,3328.0
