REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Male employees,Hours worked,Hours,thousands,1102192.0
2013,2016A000011124,Canada,Total non-profit institutions,Female employees,Hours worked,Hours,thousands,2431057.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Male employees,Hours worked,Hours,thousands,441810.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Female employees,Hours worked,Hours,thousands,738170.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Male employees,Hours worked,Hours,thousands,296926.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Female employees,Hours worked,Hours,thousands,583865.0
2013,2016A000011124,Canada,Business non-profit institutions,Male employees,Hours worked,Hours,thousands,144887.0
2013,2016A000011124,Canada,Business non-profit institutions,Female employees,Hours worked,Hours,thousands,154305.0
2013,2016A000011124,Canada,Government non-profit institutions,Male employees,Hours worked,Hours,thousands,660381.0
2013,2016A000011124,Canada,Government non-profit institutions,Female employees,Hours worked,Hours,thousands,1692887.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Male employees,Hours worked,Hours,thousands,21333.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Female employees,Hours worked,Hours,thousands,46672.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Male employees,Hours worked,Hours,thousands,5543.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Female employees,Hours worked,Hours,thousands,8203.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Male employees,Hours worked,Hours,thousands,4020.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Female employees,Hours worked,Hours,thousands,6780.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Male employees,Hours worked,Hours,thousands,1524.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Female employees,Hours worked,Hours,thousands,1423.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Male employees,Hours worked,Hours,thousands,15790.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Female employees,Hours worked,Hours,thousands,38470.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Male employees,Hours worked,Hours,thousands,4805.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Female employees,Hours worked,Hours,thousands,13075.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Male employees,Hours worked,Hours,thousands,1871.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Female employees,Hours worked,Hours,thousands,2684.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Male employees,Hours worked,Hours,thousands,1338.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Female employees,Hours worked,Hours,thousands,2099.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Male employees,Hours worked,Hours,thousands,534.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Female employees,Hours worked,Hours,thousands,585.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Male employees,Hours worked,Hours,thousands,2934.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Female employees,Hours worked,Hours,thousands,10390.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Male employees,Hours worked,Hours,thousands,32905.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Female employees,Hours worked,Hours,thousands,81739.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Male employees,Hours worked,Hours,thousands,10959.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Female employees,Hours worked,Hours,thousands,20144.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Male employees,Hours worked,Hours,thousands,7934.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Female employees,Hours worked,Hours,thousands,16846.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,Male employees,Hours worked,Hours,thousands,3026.0
