REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,679350.0
2013,2016A000011124,Canada,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,1575789.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,265906.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,488457.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,180780.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,390605.0
2013,2016A000011124,Canada,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,85126.0
2013,2016A000011124,Canada,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,97848.0
2013,2016A000011124,Canada,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,413444.0
2013,2016A000011124,Canada,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,1087331.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,12178.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,27748.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,3200.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,4811.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,2326.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,3974.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,874.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,837.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,8978.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,22937.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,2905.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,8608.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,1097.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,1851.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,781.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,1464.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,315.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,388.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,1808.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,6757.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,20262.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,51311.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,6576.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,12881.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,4852.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,10878.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,1725.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,2003.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,13686.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,38429.0
2013,2016A000213,New Brunswick,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,14035.0
2013,2016A000213,New Brunswick,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,34313.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,4971.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,8063.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,3528.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,6487.0
2013,2016A000213,New Brunswick,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,1443.0
2013,2016A000213,New Brunswick,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,1576.0
2013,2016A000213,New Brunswick,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,9064.0
2013,2016A000213,New Brunswick,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,26251.0
2013,2016A000224,Quebec,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,177150.0
2013,2016A000224,Quebec,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,411603.0
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,61327.0
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,125046.0
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,40945.0
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,100195.0
2013,2016A000224,Quebec,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,20383.0
2013,2016A000224,Quebec,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,24850.0
2013,2016A000224,Quebec,Government non-profit institutions,Male employees,Number of jobs,Jobs,units,115823.0
2013,2016A000224,Quebec,Government non-profit institutions,Female employees,Number of jobs,Jobs,units,286557.0
2013,2016A000235,Ontario,Total non-profit institutions,Male employees,Number of jobs,Jobs,units,234021.0
2013,2016A000235,Ontario,Total non-profit institutions,Female employees,Number of jobs,Jobs,units,512491.0
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,Male employees,Number of jobs,Jobs,units,101822.0
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,Female employees,Number of jobs,Jobs,units,184936.0
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),Male employees,Number of jobs,Jobs,units,68596.0
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),Female employees,Number of jobs,Jobs,units,146124.0
2013,2016A000235,Ontario,Business non-profit institutions,Male employees,Number of jobs,Jobs,units,33225.0
2013,2016A000235,Ontario,Business non-profit institutions,Female employees,Number of jobs,Jobs,units,38812.0
