REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,15 to 24 years,Wages and salaries,Dollars,millions,3615.0
2013,2016A000011124,Canada,Total non-profit institutions,25 to 34 years,Wages and salaries,Dollars,millions,17811.0
2013,2016A000011124,Canada,Total non-profit institutions,35 to 44 years,Wages and salaries,Dollars,millions,23682.0
2013,2016A000011124,Canada,Total non-profit institutions,45 to 54 years,Wages and salaries,Dollars,millions,29708.0
2013,2016A000011124,Canada,Total non-profit institutions,55 to 64 years,Wages and salaries,Dollars,millions,21881.0
2013,2016A000011124,Canada,Total non-profit institutions,65 years old and over,Wages and salaries,Dollars,millions,4071.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,15 to 24 years,Wages and salaries,Dollars,millions,1190.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,25 to 34 years,Wages and salaries,Dollars,millions,4868.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,35 to 44 years,Wages and salaries,Dollars,millions,6444.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,45 to 54 years,Wages and salaries,Dollars,millions,7723.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,55 to 64 years,Wages and salaries,Dollars,millions,5917.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,65 years old and over,Wages and salaries,Dollars,millions,1211.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),15 to 24 years,Wages and salaries,Dollars,millions,807.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),25 to 34 years,Wages and salaries,Dollars,millions,3484.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),35 to 44 years,Wages and salaries,Dollars,millions,4631.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),45 to 54 years,Wages and salaries,Dollars,millions,5513.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),55 to 64 years,Wages and salaries,Dollars,millions,4288.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),65 years old and over,Wages and salaries,Dollars,millions,915.0
2013,2016A000011124,Canada,Business non-profit institutions,15 to 24 years,Wages and salaries,Dollars,millions,383.0
2013,2016A000011124,Canada,Business non-profit institutions,25 to 34 years,Wages and salaries,Dollars,millions,1385.0
2013,2016A000011124,Canada,Business non-profit institutions,35 to 44 years,Wages and salaries,Dollars,millions,1813.0
2013,2016A000011124,Canada,Business non-profit institutions,45 to 54 years,Wages and salaries,Dollars,millions,2210.0
2013,2016A000011124,Canada,Business non-profit institutions,55 to 64 years,Wages and salaries,Dollars,millions,1629.0
2013,2016A000011124,Canada,Business non-profit institutions,65 years old and over,Wages and salaries,Dollars,millions,296.0
2013,2016A000011124,Canada,Government non-profit institutions,15 to 24 years,Wages and salaries,Dollars,millions,2425.0
2013,2016A000011124,Canada,Government non-profit institutions,25 to 34 years,Wages and salaries,Dollars,millions,12943.0
2013,2016A000011124,Canada,Government non-profit institutions,35 to 44 years,Wages and salaries,Dollars,millions,17238.0
2013,2016A000011124,Canada,Government non-profit institutions,45 to 54 years,Wages and salaries,Dollars,millions,21985.0
2013,2016A000011124,Canada,Government non-profit institutions,55 to 64 years,Wages and salaries,Dollars,millions,15964.0
2013,2016A000011124,Canada,Government non-profit institutions,65 years old and over,Wages and salaries,Dollars,millions,2860.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,15 to 24 years,Wages and salaries,Dollars,millions,56.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,25 to 34 years,Wages and salaries,Dollars,millions,296.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,35 to 44 years,Wages and salaries,Dollars,millions,490.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,45 to 54 years,Wages and salaries,Dollars,millions,614.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,55 to 64 years,Wages and salaries,Dollars,millions,401.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,65 years old and over,Wages and salaries,Dollars,millions,66.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,15 to 24 years,Wages and salaries,Dollars,millions,11.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,25 to 34 years,Wages and salaries,Dollars,millions,42.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,35 to 44 years,Wages and salaries,Dollars,millions,62.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,45 to 54 years,Wages and salaries,Dollars,millions,81.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,55 to 64 years,Wages and salaries,Dollars,millions,62.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,65 years old and over,Wages and salaries,Dollars,millions,13.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),15 to 24 years,Wages and salaries,Dollars,millions,7.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),25 to 34 years,Wages and salaries,Dollars,millions,30.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),35 to 44 years,Wages and salaries,Dollars,millions,44.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),45 to 54 years,Wages and salaries,Dollars,millions,57.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),55 to 64 years,Wages and salaries,Dollars,millions,47.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),65 years old and over,Wages and salaries,Dollars,millions,11.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,15 to 24 years,Wages and salaries,Dollars,millions,4.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,25 to 34 years,Wages and salaries,Dollars,millions,12.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,35 to 44 years,Wages and salaries,Dollars,millions,19.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,45 to 54 years,Wages and salaries,Dollars,millions,24.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,55 to 64 years,Wages and salaries,Dollars,millions,15.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,65 years old and over,Wages and salaries,Dollars,millions,3.0
