REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,34457.0
2013,2016A000011124,Canada,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,66311.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,11464.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,15890.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,7300.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,12339.0
2013,2016A000011124,Canada,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,4164.0
2013,2016A000011124,Canada,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,3552.0
2013,2016A000011124,Canada,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,22993.0
2013,2016A000011124,Canada,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,50420.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,667.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,1255.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,125.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,147.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,80.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,116.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,45.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,31.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,542.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,1109.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,128.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,316.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,31.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,45.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,21.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,35.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,10.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,10.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,97.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,271.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,931.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,2105.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,229.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,373.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,160.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,309.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,69.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,64.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,702.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,Female employees,Wages and salaries,Dollars,millions,1732.0
2013,2016A000213,New Brunswick,Total non-profit institutions,Male employees,Wages and salaries,Dollars,millions,693.0
2013,2016A000213,New Brunswick,Total non-profit institutions,Female employees,Wages and salaries,Dollars,millions,1498.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Male employees,Wages and salaries,Dollars,millions,175.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Female employees,Wages and salaries,Dollars,millions,204.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Male employees,Wages and salaries,Dollars,millions,119.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Female employees,Wages and salaries,Dollars,millions,159.0
2013,2016A000213,New Brunswick,Business non-profit institutions,Male employees,Wages and salaries,Dollars,millions,56.0
2013,2016A000213,New Brunswick,Business non-profit institutions,Female employees,Wages and salaries,Dollars,millions,45.0
2013,2016A000213,New Brunswick,Government non-profit institutions,Male employees,Wages and salaries,Dollars,millions,518.0
