REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,24677.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,76091.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Immigrant employees,Wages and salaries,Dollars,millions,6056.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-immigrant employees,Wages and salaries,Dollars,millions,21298.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Immigrant employees,Wages and salaries,Dollars,millions,4314.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Non-immigrant employees,Wages and salaries,Dollars,millions,15324.0
2013,2016A000011124,Canada,Business non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,1742.0
2013,2016A000011124,Canada,Business non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,5974.0
2013,2016A000011124,Canada,Government non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,18621.0
2013,2016A000011124,Canada,Government non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,54793.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,142.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,1780.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Immigrant employees,Wages and salaries,Dollars,millions,8.0
2013,2016A000210,Newfoundland and Labrador,Total non-profit institutions excluding governments,Non-immigrant employees,Wages and salaries,Dollars,millions,264.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Immigrant employees,Wages and salaries,Dollars,millions,6.0
2013,2016A000210,Newfoundland and Labrador,Non-profit institutions serving households (community organizations),Non-immigrant employees,Wages and salaries,Dollars,millions,189.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,2.0
2013,2016A000210,Newfoundland and Labrador,Business non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,74.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,134.0
2013,2016A000210,Newfoundland and Labrador,Government non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,1517.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,34.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,410.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Immigrant employees,Wages and salaries,Dollars,millions,4.0
2013,2016A000211,Prince Edward Island,Total non-profit institutions excluding governments,Non-immigrant employees,Wages and salaries,Dollars,millions,72.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Immigrant employees,Wages and salaries,Dollars,millions,3.0
2013,2016A000211,Prince Edward Island,Non-profit institutions serving households (community organizations),Non-immigrant employees,Wages and salaries,Dollars,millions,53.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,1.0
2013,2016A000211,Prince Edward Island,Business non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,20.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,30.0
2013,2016A000211,Prince Edward Island,Government non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,338.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,314.0
2013,2016A000212,Nova Scotia,Total non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,2721.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Immigrant employees,Wages and salaries,Dollars,millions,39.0
2013,2016A000212,Nova Scotia,Total non-profit institutions excluding governments,Non-immigrant employees,Wages and salaries,Dollars,millions,563.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Immigrant employees,Wages and salaries,Dollars,millions,31.0
2013,2016A000212,Nova Scotia,Non-profit institutions serving households (community organizations),Non-immigrant employees,Wages and salaries,Dollars,millions,438.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,8.0
2013,2016A000212,Nova Scotia,Business non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,125.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,275.0
2013,2016A000212,Nova Scotia,Government non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,2158.0
2013,2016A000213,New Brunswick,Total non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,162.0
2013,2016A000213,New Brunswick,Total non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,2028.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Immigrant employees,Wages and salaries,Dollars,millions,16.0
2013,2016A000213,New Brunswick,Total non-profit institutions excluding governments,Non-immigrant employees,Wages and salaries,Dollars,millions,363.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Immigrant employees,Wages and salaries,Dollars,millions,12.0
2013,2016A000213,New Brunswick,Non-profit institutions serving households (community organizations),Non-immigrant employees,Wages and salaries,Dollars,millions,265.0
2013,2016A000213,New Brunswick,Business non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,4.0
2013,2016A000213,New Brunswick,Business non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,97.0
2013,2016A000213,New Brunswick,Government non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,146.0
2013,2016A000213,New Brunswick,Government non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,1666.0
2013,2016A000224,Quebec,Total non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,3836.0
2013,2016A000224,Quebec,Total non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,20215.0
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,Immigrant employees,Wages and salaries,Dollars,millions,847.0
2013,2016A000224,Quebec,Total non-profit institutions excluding governments,Non-immigrant employees,Wages and salaries,Dollars,millions,5270.0
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),Immigrant employees,Wages and salaries,Dollars,millions,619.0
2013,2016A000224,Quebec,Non-profit institutions serving households (community organizations),Non-immigrant employees,Wages and salaries,Dollars,millions,3836.0
2013,2016A000224,Quebec,Business non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,227.0
2013,2016A000224,Quebec,Business non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,1433.0
2013,2016A000224,Quebec,Government non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,2989.0
2013,2016A000224,Quebec,Government non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,14945.0
2013,2016A000235,Ontario,Total non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,10907.0
2013,2016A000235,Ontario,Total non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,24218.0
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,Immigrant employees,Wages and salaries,Dollars,millions,3164.0
2013,2016A000235,Ontario,Total non-profit institutions excluding governments,Non-immigrant employees,Wages and salaries,Dollars,millions,8004.0
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),Immigrant employees,Wages and salaries,Dollars,millions,2228.0
2013,2016A000235,Ontario,Non-profit institutions serving households (community organizations),Non-immigrant employees,Wages and salaries,Dollars,millions,5726.0
2013,2016A000235,Ontario,Business non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,936.0
2013,2016A000235,Ontario,Business non-profit institutions,Non-immigrant employees,Wages and salaries,Dollars,millions,2278.0
2013,2016A000235,Ontario,Government non-profit institutions,Immigrant employees,Wages and salaries,Dollars,millions,7743.0
